file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on metro_station,h8d5 transfer on metro_station,h12d5 transfer on metro_station,h24d5 transfer on metro_station,h48d5 transfer on metro_station
SNRdb10_p281_218_1101,1.6827247142791748,1.7774864435195925,2.0355725288391118,1.798846960067749,1.675519585609436,1.909345388412476,2.0610628128051762,2.0400197505950928,1.9556819200515747,2.0460517406463623,1.8874075412750244
SNRdb20_p303_018_1101,2.124165773391724,2.319365262985229,2.5045206546783447,2.607261180877685,2.9345989227294917,2.98626708984375,2.372036457061768,2.547676086425781,2.9112546443939213,3.022407531738281,2.9460690021514893
SNRdb0_p281_262_1103,1.2072875499725342,1.364025354385376,1.5160562992095947,1.5068645477294922,1.3790444135665894,1.5355195999145508,1.4035886526107788,1.475493311882019,1.4229696989059448,1.5496821403503418,1.5746911764144895
SNRdb5_p306_319_1103,1.1456249952316284,1.4649978876113892,1.4515892267227173,1.356692671775818,1.3720643520355225,1.3584127426147459,1.321255803108215,1.4473588466644287,1.4959728717803955,1.4528458118438718,1.4927592277526855
SNRdb10_p306_199_1103,1.382920503616333,1.9632337093353271,2.38862419128418,2.1652820110321045,2.4386155605316158,2.468880414962769,2.042612075805664,2.3923659324646,2.3366713523864746,2.392340898513794,2.2686331272125244
SNRdb20_p299_147_1103,2.4524314403533936,3.08856201171875,3.305760145187378,3.0079975128173833,2.7794744968414307,3.1892697811126713,2.9574520587921143,3.0619215965271,3.214855194091797,3.0034332275390625,3.301628828048706
SNRdb0_p249_244_1106,1.0578886270523071,1.159626007080078,1.1943840980529783,1.1581709384918213,1.2009289264678955,1.244239091873169,1.1467134952545166,1.1707260608673096,1.1877912282943726,1.304297924041748,1.2804540395736694
SNRdb5_p281_448_1106,1.155272364616394,1.1768007278442385,1.262018084526062,1.306732177734375,1.351102352142334,1.4209651947021484,1.2368824481964111,1.4489469528198242,1.5468404293060305,1.584603190422058,1.6083326339721682
SNRdb10_p335_406_1106,1.2268145084381104,1.4887018203735352,1.8283106088638303,1.7969260215759275,1.9969558715820312,2.1215806007385254,1.544588923454285,1.948180913925171,1.9190315008163448,2.3996825218200684,2.2543325424194336
SNRdb20_p303_120_1106,2.0957262516021733,2.2607998847961426,2.528169870376587,2.7061500549316406,2.4882383346557617,2.5274136066436768,2.393186330795288,2.9086518287658687,3.159215211868286,2.9790143966674805,2.9061641693115234
SNRdb0_p343_260_1116,1.080847144126892,1.2668033838272097,1.3206472396850586,1.2910774946212769,1.3622907400131226,1.4505163431167605,1.2929544448852541,1.3594412803649902,1.4439839124679563,1.7030925750732422,1.7629361152648926
SNRdb5_p246_224_1116,1.102417230606079,1.202403545379639,1.3023746013641355,1.29621160030365,1.3809990882873535,1.3945529460906982,1.353428840637207,1.5815768241882324,1.7419519424438477,1.7720892429351809,1.647592306137085
SNRdb10_p281_007_1116,1.4106997251510618,1.4975380897521973,1.3319575786590576,1.3637915849685671,1.5544819831848145,1.8438980579376218,1.6228126287460327,1.533424735069275,1.987008571624756,2.0717883110046387,1.9690409898757932
SNRdb20_p281_446_1116,2.0752015113830566,1.9875621795654297,2.2786741256713867,2.2570641040802,2.462421178817749,2.3921895027160645,2.0666613578796387,2.0997879505157466,2.6170334815979004,2.1962039470672607,2.4051260948181152
SNRdb0_p251_212_1120,1.0942708253860474,1.196873664855957,1.23643696308136,1.187030553817749,1.2115799188613892,1.3087599277496338,1.1500248908996582,1.285584568977356,1.1516306400299072,1.262241005897522,1.3275736570358276
SNRdb5_p281_403_1120,1.1881797313690186,1.241917848587036,1.24726140499115,1.2469607591629028,1.3240697383880615,1.3701882362365725,1.3289575576782229,1.3052657842636108,1.4262672662734983,1.4545308351516724,1.451543211936951
SNRdb10_p281_007_1120,1.4565578699111938,1.6238820552825928,1.3043261766433716,1.413599729537964,1.6785550117492676,2.0498704910278316,1.8161153793334959,1.5621230602264404,1.9688618183135984,2.1043620109558105,1.9874300956726076
SNRdb20_p360_263_1120,2.2584030628204346,2.549060821533203,2.5909264087677,2.5411546230316158,2.80012583732605,2.616481065750122,2.754709243774414,2.978505373001098,2.7710540294647217,2.926279306411743,2.7012927532196045
SNRdb0_p360_161_1122,1.1454510688781738,1.270441651344299,1.4187971353530884,1.306816816329956,1.4799675941467283,1.3937102556228638,1.3593862056732178,1.4839324951171875,1.3172417879104614,1.5229650735855105,1.327702522277832
SNRdb5_p298_288_1122,1.2538233995437622,1.5568856000900269,1.6144529581069946,1.533755660057068,1.8040692806243896,1.95925772190094,1.421477198600769,1.7530260086059568,1.810912489891052,1.7037532329559326,1.7129534482955933
SNRdb10_p303_344_1122,1.297953963279724,1.83100426197052,2.2097487449646,1.9922668933868408,2.020892381668091,1.9153072834014893,1.907998323440552,2.113323211669922,1.987559795379639,2.1974225044250493,2.0656557083129883
SNRdb20_p343_087_1122,2.3551571369171143,2.4737231731414795,2.741293907165528,2.84798526763916,2.8631908893585205,2.7436795234680176,2.6074275970458984,2.8149306774139404,2.972664356231689,2.995598316192627,2.952847957611084
SNRdb0_p306_246_1129,1.0879985094070437,1.2159360647201538,1.3931564092636108,1.3361730575561523,1.3291895389556885,1.5425801277160645,1.204500436782837,1.3489032983779907,1.3664062023162842,1.42170512676239,1.4048335552215576
