Model,Borda_Count
h24d5 transfer on car,1868
h48d5 transfer on car,1758
h8d5 transfer on car,1704
h4d5 transfer on car,572
h48d5 trained on all,440
h12d5 transfer on car,154
h24d5 trained on all,-246
h8d5 trained on all,-1714
h12d5 trained on all,-1782
h4d5 trained on all,-2754
