file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on car,h8d5 transfer on car,h12d5 transfer on car,h24d5 transfer on car,h48d5 transfer on car
SNRdb20_p343_087_1171,1.7972753047943115,1.7866111993789673,2.089933156967163,3.2928292751312256,3.8957092761993413,3.81953501701355,3.74870491027832,3.910408973693848,3.668845891952514,3.740851879119873,3.883902311325073
SNRdb0_p306_246_1174,1.1625406742095947,1.635732889175415,1.9760587215423584,1.5414468050003052,1.753252387046814,2.3171916007995605,2.315279960632324,2.597484827041626,2.470036506652832,2.928492307662964,2.840980529785156
SNRdb5_p303_130_1174,1.3282840251922607,1.5495257377624512,1.6451117992401123,1.6066713333129885,1.6263594627380369,1.7385193109512331,1.7814204692840576,1.7060399055480957,1.68259596824646,1.7413759231567385,1.7147253751754759
SNRdb10_p251_104_1174,1.85050904750824,2.8425981998443604,2.703580617904663,2.8576948642730717,2.6994991302490234,2.701364278793335,2.8943555355072017,2.919931173324585,2.856534719467163,3.1148383617401123,3.040287494659424
SNRdb20_p251_024_1174,3.532744884490967,3.365617513656616,3.2581157684326167,3.538923501968384,3.6085052490234375,3.3671963214874268,3.706644296646118,3.817873239517212,3.58135724067688,3.679774522781372,3.4546434879302983
SNRdb0_p249_269_1186,1.2701773643493652,1.755774974822998,2.00559401512146,1.841796875,1.7005255222320557,2.169754266738892,2.0161168575286865,2.0264220237731934,2.0012688636779785,2.2664146423339844,2.177645444869995
SNRdb5_p303_220_1186,1.5945615768432615,2.7847814559936523,3.0814666748046875,2.821253061294556,3.0183544158935547,3.0834646224975586,3.130629062652588,3.2344534397125244,3.045464038848877,3.228878736495972,3.0716931819915767
SNRdb10_p343_341_1186,2.005075454711914,2.768132209777832,2.9547195434570312,2.8912148475646973,3.69068455696106,3.811326503753662,3.683637142181397,3.6430683135986333,3.518057107925415,3.802390098571777,3.8773210048675537
SNRdb20_p306_139_1186,2.0498180389404297,2.361649751663208,3.2873177528381348,3.4337329864501958,3.5659754276275635,2.520435333251953,3.6892485618591313,3.96851658821106,3.656818628311157,3.8715121746063232,2.647877693176269
SNRdb0_p249_024_1195,1.1257774829864502,1.361542582511902,1.4492144584655762,1.4623831510543823,1.649225831031799,1.8612275123596191,1.4530806541442869,1.5338224172592163,1.4270751476287842,1.5266768932342532,1.660539984703064
SNRdb5_p249_255_1195,1.4236717224121094,1.6277081966400146,1.9622822999954224,1.8582229614257808,1.859678149223328,1.8165385723114011,1.561751127243042,1.736361742019653,1.5649588108062744,1.6562656164169312,1.8208192586898804
SNRdb10_p335_184_1195,1.3760764598846436,2.1162080764770512,2.5754878520965576,2.315338134765625,2.892951011657715,2.9722139835357666,2.235928773880005,2.410447359085083,2.2778115272521973,2.4214353561401367,2.9484281539916988
SNRdb20_p306_119_1195,1.957371950149536,2.9397714138031006,3.292679071426392,3.213264942169189,3.2859086990356445,3.42373275756836,3.273731470108032,3.522528648376465,3.3738555908203125,3.3722167015075684,3.505131959915161
SNRdb0_p246_227_1205,1.291032075881958,1.6757792234420776,1.6047284603118896,1.7443103790283203,1.5673441886901855,1.914397954940796,1.5595157146453855,1.6640722751617432,1.6594595909118652,1.7796888351440432,1.6493685245513916
SNRdb5_p303_074_1205,1.3277803659439087,2.067941665649414,2.0731077194213867,2.242720127105713,2.2449018955230717,1.9997453689575195,2.146639585494995,2.1548569202423096,2.121929407119751,2.1762564182281494,1.9104654788970947
SNRdb10_p251_050_1205,1.6646292209625244,2.4765088558197017,2.3943352699279785,2.48317289352417,2.5463621616363525,2.6379330158233643,2.3617711067199707,2.332477331161499,2.398411273956299,2.4723381996154785,2.4749929904937744
SNRdb20_p306_202_1205,2.847897291183472,3.1954059600830083,3.2094593048095703,3.2339658737182617,3.191309928894043,3.3028414249420166,3.262888669967652,3.292403221130371,3.3087007999420166,3.401437520980835,3.184147357940674
SNRdb0_p303_087_1221,1.10260009765625,1.349068284034729,1.5927354097366333,1.3336842060089111,1.6324964761734009,1.4979588985443115,1.416161298751831,1.4989495277404783,1.462759256362915,1.5056231021881104,1.5313067436218262
SNRdb5_p281_151_1221,1.580232858657837,1.8112071752548216,1.8184139728546145,1.927245140075684,2.1885952949523926,2.446658134460449,1.8486957550048828,2.0521981716156006,2.0621652603149414,2.0923447608947754,2.472792387008667
SNRdb10_p281_313_1221,1.7762792110443115,2.071351766586304,1.5672063827514648,1.798140287399292,2.415842294692993,2.1812095642089844,1.8664960861206052,1.98958420753479,2.0470893383026123,2.2129693031311035,2.1310498714447017
SNRdb20_p306_133_1221,2.339925527572632,2.9494869709014893,3.1483192443847656,2.8558249473571777,2.675004482269287,2.9800701141357417,3.0013730525970463,2.9744174480438232,2.9802515506744385,3.125868320465088,2.980188608169556
SNRdb0_p249_125_1228,1.7184652090072632,2.25148344039917,2.5075433254241943,2.326892614364624,2.7348744869232178,2.7056596279144287,2.2665011882781982,2.351503610610962,2.3483073711395264,2.156147003173828,2.413506031036377
SNRdb5_p249_340_1228,1.7268776893615725,2.2539899349212646,2.8196492195129395,2.74409294128418,2.912791967391968,2.968196153640747,2.797505617141724,2.9567387104034424,2.651777982711792,2.7679436206817627,2.8521041870117188
SNRdb10_p343_389_1228,2.0204567909240723,2.1490800380706787,3.2594289779663086,3.2831199169158936,3.416393280029297,3.44439435005188,3.3634932041168213,3.559088706970215,3.4110291004180913,3.723060846328736,3.507481336593628
SNRdb20_p360_005_1228,3.3964972496032715,2.6019551753997803,2.426570415496826,3.504141092300415,2.756383180618286,2.9581530094146733,3.767303466796875,3.434241771697998,3.760939359664917,3.391392469406128,3.3219692707061768
SNRdb0_p339_389_1258,1.5094361305236816,2.3126087188720703,2.510065078735352,2.5507726669311523,2.577334403991699,2.6417005062103267,2.584045171737671,2.5138189792633057,2.516981840133667,2.7655248641967773,2.665533304214477
SNRdb5_p251_270_1258,1.5297498703002932,2.388836622238159,2.4258711338043213,2.372154712677002,2.6022236347198486,2.5372352600097656,2.483245849609375,2.6044180393218994,2.3138816356658936,2.7289788722991943,2.7983744144439697
SNRdb10_p360_191_1258,2.790135145187378,3.2945537567138667,3.3628444671630864,3.0549304485321045,3.5120258331298833,3.4379978179931636,3.319201231002808,3.3671176433563232,3.364537715911865,3.4801926612854004,3.3848140239715576
SNRdb20_p306_086_1258,3.1065397262573238,3.251265525817871,3.262026071548462,3.3750312328338623,3.473735809326172,3.2557082176208496,3.757436513900757,3.5964365005493164,3.5054852962493896,3.696192502975464,3.7683684825897217
SNRdb0_p360_243_127,1.143230438232422,1.2381991147994995,1.4394773244857788,1.2130136489868164,1.542699098587036,2.147943019866944,2.0636839866638184,2.686147451400757,1.92058527469635,2.3286521434783936,2.8254413604736333
SNRdb5_p343_204_127,1.2920818328857422,1.5624345541000366,1.6049849987030032,1.7361249923706057,1.5788559913635254,2.372853279113769,2.2570602893829346,2.9674711227416988,2.0780177116394043,2.818059206008911,2.5680179595947266
SNRdb10_p360_275_127,1.739499568939209,2.3101494312286377,2.640700340270996,2.7381482124328613,2.90310001373291,2.8622758388519287,3.1111724376678467,2.8837926387786865,3.027585744857788,3.2854344844818115,2.954383373260498
SNRdb20_p249_139_127,3.2539958953857417,3.5358917713165283,3.389803647994995,3.4312753677368164,3.62695574760437,3.579096794128418,3.8408935070037837,3.8269202709198,3.5241396427154537,3.902138948440552,3.8642828464508057
