file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on city_center,h8d5 transfer on city_center,h12d5 transfer on city_center,h24d5 transfer on city_center,h48d5 transfer on city_center
SNRdb10_p343_366_1033,1.2388184070587158,2.0050210952758794,2.104736804962158,2.479717254638672,2.1138839721679688,2.688517808914185,2.3603222370147705,2.3957550525665283,2.4713945388793945,2.313920021057129,2.5633935928344727
SNRdb20_p246_135_1033,2.226312160491944,2.522765874862671,2.8825511932373047,2.784787893295288,3.0104293823242188,3.2437386512756348,2.939592838287353,2.970250606536865,2.957539319992065,2.908774375915528,3.2012946605682373
SNRdb0_p299_251_1038,1.0895373821258545,1.5247647762298584,1.5728604793548584,1.5815393924713137,1.6279693841934204,1.934272289276123,1.5425095558166504,1.8623819351196291,1.947359085083008,2.2113571166992188,2.12366271018982
SNRdb5_p298_185_1038,1.2173413038253784,1.8463815450668333,1.9107067584991453,1.9684602022171018,2.2900946140289307,2.239758014678955,1.9738649129867556,2.2317578792572017,2.3142354488372803,2.508131980895996,2.301307678222656
SNRdb10_p298_343_1038,1.774081110954285,2.2101645469665527,2.2949838638305664,2.255980968475342,2.2773807048797607,2.537569284439087,2.242550611495972,2.477933406829834,2.4365010261535645,2.593189477920532,2.4805915355682373
SNRdb20_p343_106_1038,1.1791143417358398,2.5189666748046875,2.696479320526123,1.7325565814971924,3.139493227005005,2.875833749771118,2.548255920410156,2.919093608856201,3.0954840183258057,3.2338545322418213,3.1622533798217773
SNRdb0_p299_349_105,1.1720050573349,1.8990514278411863,2.1303048133850098,2.0137269496917725,1.958429455757141,2.5414602756500244,1.849729061126709,2.17235803604126,2.6531202793121342,2.333423852920532,2.740992307662964
SNRdb5_p306_119_105,1.1699222326278689,1.7481646537780762,2.0084145069122314,1.768445372581482,2.1940596103668213,2.1267592906951904,1.7731013298034668,1.897786021232605,2.0445406436920166,2.383070945739746,2.256840229034424
SNRdb10_p303_344_105,1.7141107320785522,2.568345308303833,2.677525520324707,2.6154208183288574,2.744648694992065,2.898056030273437,2.658406972885132,2.8301119804382324,2.9349744319915767,2.7532823085784908,2.8317563533782963
SNRdb20_p281_227_105,2.7614209651947017,2.8297951221466064,2.49247145652771,2.6995019912719727,2.8023667335510254,2.3288071155548096,2.5732522010803223,2.6227707862854004,2.9950239658355717,2.8709867000579834,2.5953505039215092
SNRdb0_p281_449_1104,1.0460723638534546,1.3180989027023315,1.192811131477356,1.3619565963745115,1.5005943775177002,1.6954948902130127,1.3513869047164917,1.4226634502410889,1.435848593711853,1.471912860870361,1.5889663696289062
SNRdb5_p281_440_1104,1.311033844947815,1.5125951766967771,1.5825920104980469,1.3625166416168213,1.6108560562133791,1.7117471694946291,1.3732541799545288,1.572102189064026,1.611459255218506,1.6170313358306885,1.6044119596481323
SNRdb10_p281_218_1104,1.8715605735778809,2.261319875717163,2.2764205932617188,1.94974946975708,2.1630392074584956,2.190292835235596,2.041693925857544,2.1982681751251216,2.055286407470703,2.1841812133789062,2.1510684490203857
SNRdb20_p303_018_1104,2.061227560043335,2.430175542831421,2.440511465072632,2.731147050857544,3.0449001789093018,3.0732190608978267,2.942040205001831,2.9769611358642583,2.9781494140625,2.9492588043212886,3.0204191207885738
