file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on tram,h8d5 transfer on tram,h12d5 transfer on tram,h24d5 transfer on tram,h48d5 transfer on tram
SNRdb5_p281_448_1085,1.1423087120056152,1.1990913152694702,1.2497396469116209,1.2162929773330688,1.2592819929122925,1.3889282941818235,1.2635488510131836,1.296684503555298,1.23289155960083,1.3176491260528564,1.3585349321365356
SNRdb10_p335_406_1085,1.2599177360534668,1.426931619644165,1.714439868927002,1.746073603630066,1.7912938594818115,1.9291338920593264,1.4839718341827393,1.7160604000091553,1.7013607025146484,1.7762099504470823,1.90488862991333
SNRdb20_p303_120_1085,1.9970786571502688,2.11743426322937,2.377100706100464,2.6647777557373047,2.4346365928649902,2.479748010635376,2.387357234954834,2.8300907611846924,2.8652465343475337,2.469803094863892,2.601952314376831
SNRdb0_p343_260_1119,1.1751606464385986,1.5723328590393066,1.7466797828674316,1.7214484214782717,1.9469404220581052,2.2183797359466557,1.5568437576293943,2.304521083831787,2.1672334671020512,1.6655933856964111,1.9242212772369385
SNRdb5_p246_224_1119,1.2605204582214355,1.6910964250564575,1.8698692321777344,1.8585472106933596,1.9515156745910645,2.272713184356689,2.144651174545288,2.325658082962036,2.4232935905456543,2.3194997310638428,2.6791374683380127
SNRdb10_p281_007_1119,1.8823399543762207,2.21891188621521,1.736126184463501,2.224839687347412,2.3313922882080083,2.338740587234497,2.0647730827331543,2.1294424533843994,2.406191825866699,2.343454360961914,2.427828788757324
SNRdb20_p281_446_1119,2.9212772846221924,2.5333251953125,3.1000142097473145,2.9213404655456543,2.9501376152038574,2.803186416625977,2.8801112174987797,3.2036635875701904,2.7074363231658936,3.1218628883361816,2.538268804550171
SNRdb0_p251_212_1134,1.156200289726257,1.4981071949005127,1.5410048961639404,1.4284822940826416,1.4611735343933103,1.986299991607666,1.447005033493042,1.660329818725586,1.4983382225036619,1.5351271629333496,1.6021859645843506
SNRdb5_p281_403_1134,1.5415451526641846,1.7153158187866209,1.7144477367401123,1.6401515007019043,2.0273196697235107,1.5457291603088381,1.663832426071167,1.5875144004821775,1.8038651943206787,1.7651584148406982,1.660400152206421
SNRdb10_p281_007_1134,1.939410924911499,2.083077907562256,1.719197392463684,2.0934805870056152,2.1597003936767583,2.455822229385376,1.9337320327758791,2.0068187713623047,2.172326803207397,2.159604787826538,2.290015697479248
SNRdb20_p360_263_1134,2.9742734432220463,3.0638213157653813,3.047523498535156,3.0169100761413574,2.8229646682739262,2.8165745735168457,2.855387687683105,2.2712526321411133,3.225103616714477,3.0585432052612305,3.014379501342773
SNRdb0_p360_161_1136,1.709017992019653,2.8034539222717285,2.694162368774414,2.737431049346924,2.8648478984832764,2.8726630210876465,2.9051525592803955,3.2205841541290283,3.0545651912689213,2.6500244140625,3.119288921356201
SNRdb5_p298_288_1136,2.216435670852661,3.343510627746582,3.291917085647583,3.187272310256958,3.484591245651245,3.4061532020568848,3.4146604537963867,3.391710996627808,3.403144121170044,3.4925057888031006,3.4683504104614262
SNRdb10_p303_344_1136,1.552266001701355,2.4250614643096924,3.0164053440093994,2.4875264167785645,2.8919968605041504,3.121022939682007,2.77024245262146,3.299767255783081,3.101045846939087,2.9556243419647217,3.282801866531372
SNRdb20_p343_087_1136,3.998663902282715,3.841774940490722,3.5819170475006104,3.4282605648040767,3.9743692874908447,3.8342671394348153,3.915383338928223,3.751754999160767,3.7676656246185294,3.7873783111572266,3.5649442672729488
SNRdb0_p306_246_1139,1.18005108833313,1.5904645919799805,1.6990799903869631,1.5309631824493408,1.7148232460021973,1.9414139986038208,1.5008809566497805,1.5232009887695312,1.5568652153015137,1.6789608001708984,1.7676956653594968
SNRdb5_p303_130_1139,1.2539517879486084,1.4511282444000244,1.4415314197540283,1.4097402095794678,1.4675073623657229,1.4969583749771118,1.4156622886657717,1.3913257122039795,1.4007940292358398,1.439547061920166,1.464982986450195
SNRdb10_p251_104_1139,1.5081498622894287,2.218847274780273,2.027071714401245,2.302894830703736,2.4185726642608643,2.474752187728882,2.160773038864136,2.4686179161071777,2.423346757888794,2.5935428142547607,2.6729981899261475
SNRdb20_p251_024_1139,3.073819637298584,3.0859549045562744,3.052180290222168,3.083566427230835,3.2429659366607666,2.814756155014038,3.0020723342895512,3.4495365619659424,3.115808725357056,3.0784909725189213,2.663291931152344
SNRdb0_p249_269_1143,1.3524620532989502,1.8334004878997805,2.0424580574035645,2.0389370918273926,2.102131128311157,2.0708487033843994,1.9019149541854856,2.046620607376098,2.2712182998657227,2.26785945892334,2.110605001449585
SNRdb5_p303_220_1143,1.401750087738037,1.9323618412017824,2.56322979927063,1.9774866104125977,2.5189883708953857,2.7179741859436035,2.1902303695678706,2.9173772335052486,2.890424966812134,2.7973766326904297,3.1236934661865234
SNRdb10_p343_341_1143,1.6473679542541504,2.9337544441223145,2.968979597091675,3.1769406795501713,3.4440417289733887,3.650099754333496,3.1737058162689213,3.210856437683105,3.202154874801636,3.4304707050323486,3.6066167354583736
SNRdb20_p306_139_1143,1.9185560941696167,3.1559553146362305,3.2745935916900635,2.3976821899414062,3.5160007476806636,2.563126802444458,3.666234254837036,3.4994592666625977,3.669367074966431,3.719924211502075,3.4417798519134517
SNRdb0_p249_024_1146,1.2616885900497437,1.794647216796875,1.89674711227417,1.8223831653594968,2.0295565128326416,2.2111966609954834,2.0200681686401367,2.1764161586761475,2.2696459293365483,2.191405773162842,2.286953926086426
SNRdb5_p249_255_1146,1.650054693222046,1.9671425819396973,2.337502241134644,2.366450786590576,2.2858774662017822,2.424614667892456,2.2545092105865483,2.4019272327423096,2.455920934677124,2.4412283897399902,2.357155561447144
SNRdb10_p335_184_1146,1.8559725284576416,3.0265321731567383,3.0496022701263428,3.127571582794189,2.955175876617432,3.208327054977417,3.3031411170959477,3.3150899410247803,3.1447248458862305,3.252392292022705,3.632770538330078
SNRdb20_p306_119_1146,2.421661853790283,3.2665741443634038,3.4274978637695312,3.2658703327178955,3.3211302757263184,3.564603567123413,3.4316468238830566,3.647853136062622,3.471541404724121,3.515000581741333,3.5906546115875244
SNRdb0_p246_227_117,1.1356908082962036,1.2729997634887695,1.200228929519653,1.2263641357421875,1.291470646858215,1.2728265523910522,1.3083702325820925,1.2572410106658936,1.3031246662139893,1.2494690418243408,1.6556416749954224
SNRdb5_p303_074_117,1.187192440032959,1.6733658313751218,1.7095742225646973,1.7240337133407593,1.5492933988571167,1.8138728141784668,1.6883766651153564,1.8167186975479128,1.7597830295562744,1.77398943901062,1.9874016046524048
SNRdb10_p251_050_117,1.6019296646118164,1.9024659395217896,1.4632391929626465,1.6518923044204712,1.4378278255462646,1.4520028829574585,1.795255184173584,2.238957643508911,2.16055679321289,2.329681396484375,1.7139298915863037
SNRdb20_p306_202_117,2.642380475997925,2.9008495807647705,3.004602193832397,2.984419822692871,3.0049219131469727,3.0108158588409424,2.8697471618652344,2.9380412101745605,3.041093587875366,3.0335259437561035,3.0522115230560303
SNRdb0_p303_087_1178,1.0649449825286863,1.2023627758026123,1.3193626403808594,1.2440792322158811,1.288783073425293,1.344375729560852,1.1717853546142578,1.236889362335205,1.2853357791900637,1.2140465974807741,1.3077232837677002
SNRdb5_p281_151_1178,1.3773398399353027,1.5135774612426758,1.3836655616760254,1.5998342037200928,1.5821666717529297,1.8262878656387331,1.8206701278686523,1.5002431869506836,1.6430890560150146,1.9568941593170168,2.161517143249512
SNRdb10_p281_313_1178,1.5989501476287842,1.5927900075912476,1.465017318725586,1.5332037210464478,1.7258363962173462,2.1417198181152344,1.7283220291137695,1.8642361164093015,1.888589143753052,2.071500062942505,1.77763569355011
SNRdb20_p306_133_1178,2.169085025787353,2.53857159614563,2.8284788131713867,2.7835164070129395,2.358564138412476,2.7770493030548096,2.4174258708953857,2.8545849323272705,2.681663990020752,2.870811462402344,2.472452402114868
SNRdb0_p249_125_1234,1.5534883737564087,2.1498708724975586,2.4128713607788086,2.334805727005005,2.5282323360443115,2.4237420558929443,2.0705521106719966,2.499401807785034,2.355203628540039,2.3224709033966064,2.423671245574951
SNRdb5_p249_340_1234,1.6741578578948977,2.3437891006469727,2.346036195755005,2.479051113128662,2.429629325866699,2.6443960666656494,2.442406415939331,2.5414905548095703,2.543839454650879,2.50716233253479,2.627588987350464
SNRdb10_p343_389_1234,1.7145671844482422,2.9294006824493413,3.006007432937622,2.986755847930908,3.0917646884918213,3.428870677947998,2.8264555931091313,3.1634247303009038,3.1169426441192627,2.8704929351806636,3.1776583194732666
SNRdb20_p360_005_1234,3.151650667190552,2.628652334213257,2.5724658966064453,3.376763105392456,2.4429757595062256,2.9809787273406982,2.9719786643981934,3.0988869667053223,3.45444393157959,3.1255438327789307,2.9866621494293213
SNRdb0_p339_389_1237,1.2157657146453855,1.7132998704910278,1.876136779785156,1.7595129013061523,1.968315601348877,2.185973882675171,1.9310617446899412,1.9288678169250488,2.03898024559021,2.0021655559539795,2.200691938400269
