Model,Borda_Count
h48d5 transfer on tram,1528
h48d5 trained on all,1418
h24d5 transfer on tram,1232
h8d5 transfer on tram,868
h12d5 transfer on tram,762
h24d5 trained on all,510
h4d5 transfer on tram,-1166
h8d5 trained on all,-1358
h12d5 trained on all,-1396
h4d5 trained on all,-2398
