file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on grocery_store,h8d5 transfer on grocery_store,h12d5 transfer on grocery_store,h24d5 transfer on grocery_store,h48d5 transfer on grocery_store
SNRdb0_p298_225_1000,1.1468749046325684,1.3715050220489502,1.345461130142212,1.3118133544921875,1.3934317827224731,1.5972485542297363,1.3219561576843262,1.3227195739746094,1.5874722003936768,1.6220970153808594,1.710980772972107
SNRdb5_p339_212_1000,1.2087336778640747,1.5794050693511963,1.6153013706207275,1.634835720062256,1.6820216178894043,1.8095732927322388,1.5284342765808103,1.980283498764038,1.8578670024871824,1.9818286895751955,1.902943968772888
SNRdb10_p299_278_1000,1.4145675897598269,2.5983781814575195,2.6308741569519043,2.5776917934417725,2.890550374984741,2.751474142074585,2.42846941947937,2.6487531661987305,2.659386157989502,2.7934398651123047,2.7948150634765625
SNRdb20_p306_358_1000,2.3935041427612305,2.8276150226593018,2.840588092803955,2.866585493087769,2.9816653728485107,3.0087599754333496,2.9098751544952397,2.910672426223755,2.821627378463745,3.15785813331604,3.0783863067626958
SNRdb0_p335_049_1005,1.11303973197937,1.6216603517532349,1.754992961883545,1.5127228498458862,1.7193121910095217,2.07051682472229,1.571927547454834,2.0118942260742188,1.557523488998413,2.2444467544555664,2.1484544277191158
SNRdb5_p298_056_1005,1.3151086568832395,1.5600353479385376,1.7501742839813232,1.7718462944030762,2.090805053710937,2.157555341720581,1.83543598651886,1.8821407556533811,1.918619155883789,2.1579785346984863,2.201681613922119
SNRdb10_p343_018_1005,1.312724471092224,2.123837947845459,2.035646915435791,2.136300563812256,2.260337829589844,2.3690991401672363,1.997602462768555,2.1345686912536617,2.203951597213745,2.210531234741211,2.2535295486450195
SNRdb20_p339_213_1005,2.4557464122772217,2.9107909202575684,2.9435179233551025,2.9774653911590576,3.0845770835876465,3.552220106124878,2.363942623138428,2.903809070587158,2.7135915756225586,3.0415756702423096,3.5490109920501713
SNRdb0_p360_313_1009,1.1957451105117798,1.2183330059051514,1.2625049352645874,1.2656581401824951,1.295950174331665,1.5400514602661133,1.320195555686951,1.39319908618927,1.3159315586090088,1.5773613452911377,1.6598081588745115
SNRdb5_p339_212_1009,1.1458146572113037,1.2781232595443726,1.51465106010437,1.4475913047790527,1.612304449081421,1.7378997802734375,1.4700320959091189,1.5861070156097412,1.8538081645965576,1.9025057554244995,1.7651405334472656
SNRdb10_p343_366_1009,1.20607590675354,1.851625680923462,1.9216551780700684,1.7434513568878174,2.0651013851165767,2.2915937900543213,1.8500524759292605,2.130932331085205,2.1191229820251465,2.232614755630493,2.280148983001709
SNRdb20_p246_135_1009,2.0365965366363525,2.4639906883239746,2.8589651584625244,2.660165548324585,2.996678113937378,3.076756238937378,2.919915199279785,3.0061349868774414,2.9677746295928955,2.987833261489868,3.3546521663665767
SNRdb0_p299_251_1013,1.082858681678772,1.223103165626526,1.2664611339569092,1.5106765031814575,1.395471692085266,1.4230413436889648,1.4839924573898315,1.2633837461471558,1.358665108680725,1.6862103939056396,1.4206738471984863
SNRdb5_p298_185_1013,1.167546272277832,1.6618402004241943,1.8625960350036619,1.4834232330322266,1.7482802867889404,1.9589555263519287,1.5332076549530032,1.961982011795044,1.7557449340820312,2.1769518852233887,2.0401468276977544
SNRdb10_p298_343_1013,1.4888217449188232,1.9119678735733032,1.8966931104660036,1.9710278511047363,2.029995441436768,2.244967460632324,1.5840768814086914,1.781336545944214,1.8009852170944214,2.1124088764190674,2.199098825454712
SNRdb20_p343_106_1013,1.7791779041290283,1.905974507331848,1.8746163845062256,2.0604705810546875,2.3109278678894043,2.5790846347808842,1.9440252780914309,2.028898000717163,2.707394361495972,2.341585636138916,2.8628175258636475
SNRdb0_p299_349_1014,1.1383275985717771,1.4150385856628418,1.8165345191955569,1.8201104402542116,2.185832500457764,2.567156791687012,1.7638065814971924,1.7826586961746216,2.010835886001587,1.986946702003479,2.3642499446868896
SNRdb5_p306_119_1014,1.156424880027771,1.6320340633392334,1.8338779211044312,1.6046035289764404,1.8249504566192627,2.0774271488189697,1.767977595329285,1.9646315574646,1.9478079080581665,2.0165774822235107,2.1090226173400883
SNRdb10_p303_344_1014,1.541860580444336,2.274639368057251,2.5518262386322017,2.3954901695251465,2.564326524734497,2.5212879180908203,2.240896463394165,2.721172332763672,2.507366418838501,2.5012247562408447,2.586800575256348
SNRdb20_p281_227_1014,2.675581693649292,2.5785176753997803,2.643695592880249,2.6738524436950684,2.4897537231445312,2.347961187362671,2.637078762054444,2.678306102752685,2.796989917755127,2.802406311035156,2.4172041416168213
SNRdb0_p281_449_1024,1.0486081838607788,1.1623601913452148,1.1445690393447876,1.1528880596160889,1.2363901138305664,1.453489065170288,1.2188254594802856,1.2781856060028076,1.192774772644043,1.4692525863647459,1.5249512195587158
SNRdb5_p281_440_1024,1.432607889175415,1.5588902235031128,1.4563573598861694,1.517608880996704,1.564781904220581,1.6517298221588137,1.6471682786941528,1.5970619916915894,1.7052474021911619,1.660865068435669,1.5746414661407468
SNRdb10_p281_218_1024,2.136547327041626,2.422313690185547,2.371977567672729,2.1303911209106445,2.7456326484680176,2.2513880729675293,2.4662818908691406,2.484130620956421,2.535864353179932,2.486905574798584,2.257026672363281
SNRdb20_p303_018_1024,2.5190608501434326,2.6349411010742188,2.6476197242736816,2.922282457351685,2.7268378734588623,3.0824966430664062,3.0110015869140625,3.1519367694854736,3.0343992710113525,3.203963279724121,3.188873767852783
SNRdb0_p281_262_1051,1.136347770690918,1.4823064804077148,1.5413618087768557,1.5333907604217532,1.6324667930603027,1.6014833450317385,1.512758731842041,1.6702920198440552,1.609174728393555,1.5990915298461914,1.5769436359405518
SNRdb5_p306_319_1051,1.293010711669922,1.7705543041229248,1.703219652175903,1.6008610725402832,1.7057602405548096,1.5795904397964478,1.573569416999817,1.8090763092041016,1.6070997714996338,1.8942717313766482,1.5804526805877686
SNRdb10_p306_199_1051,1.48600435256958,2.2741193771362305,2.4811222553253174,2.3063697814941406,2.5655250549316406,2.4259884357452397,2.4282240867614746,2.4252054691314697,2.3232312202453613,2.6128828525543213,2.688860893249512
SNRdb20_p299_147_1051,3.0973238945007324,3.1427297592163086,3.4997873306274414,3.4084010124206543,3.3059978485107417,3.48024320602417,3.4720766544342037,3.099958896636963,3.407944679260254,3.55045485496521,3.3191645145416264
